s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 0.0000000E+000, 0.0000000E+000,-3.1167894E-004, 1.3160007E-008, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-3.1166578E-004, 0.0000000E+000, 0.0000000E+000, 0.0000000E+000,-6.0013534E-001
 7.9056941E-002, 0.0000000E+000,-6.1340085E-006,-1.0185708E-002, 0.0000000E+000,-3.6744228E-003, 1.3157414E-001, 0.0000000E+000, 0.0000000E+000, 1.1770787E-001, 0.0000000E+000, 1.7739445E-003, 0.0000000E+000,-6.0013534E-001
 1.5811388E-001, 4.8314053E+001,-3.7917865E-005, 8.9036702E-002,-3.1909333E-006,-5.6545500E-003, 9.8998177E+000, 0.0000000E+000, 1.7594090E-001, 5.8297212E+001, 0.0000000E+000, 3.5259433E-003, 0.0000000E+000,-3.5614153E-001
 2.3717083E-001, 9.6810122E+000,-1.1379033E+000,-8.2484254E-002,-1.6309979E-001,-1.1579287E-002, 1.1695593E+001, 0.0000000E+000, 6.8808187E+001, 1.9981539E+001, 0.0000000E+000, 5.2351236E-003, 0.0000000E+000, 2.3955611E+001
 3.1622776E-001, 3.4355951E+002,-4.1126441E+000, 2.2124195E-002,-1.9603783E-001,-1.2621255E-002, 6.8897465E+001, 0.0000000E+000, 1.2067475E+001, 4.0815779E+002, 0.0000000E+000, 6.8826482E-003, 0.0000000E+000, 2.8493752E+001
 3.8388595E-001, 2.4081769E+002,-6.1356175E+001,-6.7230939E-002,-2.0731645E+000,-2.0856303E-002, 9.8544771E+001, 0.0000000E+000, 4.6391706E+002, 2.7584503E+002, 0.0000000E+000, 8.2314520E-003, 0.0000000E+000, 1.6745220E+002
 4.5154417E-001, 4.2719579E+002,-1.4299416E+002, 2.2274509E-002,-2.9255824E+000,-1.9686308E-002, 8.5211859E+001, 0.0000000E+000, 2.4502451E+002, 3.6649050E+002, 0.0000000E+000, 9.5151528E-003, 0.0000000E+000, 2.3914995E+002
 5.2596819E-001, 3.1201365E+002,-4.9052731E+002,-8.6833655E-002,-4.6704461E+000,-2.5939793E-002, 2.0486927E+001, 0.0000000E+000, 3.7820017E+002,-1.6280995E+002, 0.0000000E+000, 1.0844625E-002, 0.0000000E+000, 3.5975413E+002
 5.6300199E-001, 4.4575780E+002,-1.3984510E+002,-4.0020270E-002,-3.2797250E+000,-2.6844850E-002, 2.3624140E+001, 0.0000000E+000,-2.4310205E+002, 3.2619025E+002, 0.0000000E+000, 1.1472158E-002, 0.0000000E+000, 3.2359156E+002
 6.0003579E-001, 4.2436091E+002,-2.4675548E+002,-9.0613568E-002,-4.2877892E+000,-3.0369176E-002, 8.7226420E+001, 0.0000000E+000, 4.0825060E+002, 2.6042308E+002, 0.0000000E+000, 1.2076427E-002, 0.0000000E+000, 3.8751789E+002
 6.4077294E-001, 5.0167785E+002,-2.2687664E+002,-9.4113406E-002,-4.3993955E+000,-2.9588481E-002, 7.9948688E+001, 0.0000000E+000, 2.3780405E+002, 3.5022680E+002, 0.0000000E+000, 1.2713905E-002, 0.0000000E+000, 4.2848576E+002
 6.8558389E-001, 5.6144111E+002,-3.1165949E+002,-4.7594923E-002,-4.9768853E+000,-3.2489327E-002, 9.0871411E+001, 0.0000000E+000, 3.6388123E+002, 3.3559606E+002, 0.0000000E+000, 1.3381993E-002, 0.0000000E+000, 4.9580454E+002
 7.3487586E-001, 3.3446744E+002,-1.9620757E+002,-9.9804290E-002,-5.2672200E+000,-3.3927043E-002, 6.8384642E+001, 0.0000000E+000, 3.3022777E+002, 2.0124356E+002, 0.0000000E+000, 1.4076837E-002, 0.0000000E+000, 5.6348755E+002
 7.8909707E-001, 3.7757824E+002,-1.4091120E+002,-6.7744992E-002,-4.5524180E+000,-3.4948549E-002, 6.7577070E+001, 0.0000000E+000, 1.8542770E+002, 2.9958900E+002, 0.0000000E+000, 1.4793180E-002, 0.0000000E+000, 6.0643139E+002
 8.3229613E-001, 3.5797274E+002,-1.5452259E+002,-7.3248944E-002,-4.5983895E+000,-3.7091699E-002, 7.9205292E+001, 0.0000000E+000, 3.1392917E+002, 2.7794671E+002, 0.0000000E+000, 1.5328556E-002, 0.0000000E+000, 6.6352406E+002
 8.7549525E-001, 3.2243587E+002,-9.1284866E+001,-8.8267807E-002,-4.1862193E+000,-3.8104881E-002, 7.9390969E+001, 0.0000000E+000, 2.7301230E+002, 3.0622938E+002, 0.0000000E+000, 1.5833320E-002, 0.0000000E+000, 7.1387786E+002
 9.1869438E-001, 3.3673688E+002,-9.8442963E+001,-9.1110313E-002,-4.0145593E+000,-3.9295299E-002, 8.5497130E+001, 0.0000000E+000, 3.1137367E+002, 3.1964609E+002, 0.0000000E+000, 1.6308300E-002, 0.0000000E+000, 7.7107590E+002
 9.5756650E-001, 4.4537743E+002,-1.2462788E+002,-6.5200322E-002,-3.8349808E+000,-3.9364359E-002, 1.0258695E+002, 0.0000000E+000, 3.2105205E+002, 4.1939695E+002, 0.0000000E+000, 1.6711022E-002, 0.0000000E+000, 8.2447260E+002
 9.9037969E-001, 4.8392739E+002,-1.3395606E+002,-1.0227364E-001,-3.8726477E+000,-4.0083915E-002, 1.2272051E+002, 0.0000000E+000, 4.3273186E+002, 4.6867684E+002, 0.0000000E+000, 1.7033346E-002, 0.0000000E+000, 8.8491787E+002
 1.0231929E+000, 5.2939156E+002,-1.3945485E+002,-8.5151129E-002,-3.8386149E+000,-4.0457093E-002, 1.3623412E+002, 0.0000000E+000, 4.7228297E+002, 5.2220660E+002, 0.0000000E+000, 1.7340041E-002, 0.0000000E+000, 9.5066265E+002
 1.0560060E+000, 5.3844144E+002,-1.5303857E+002,-1.1283277E-001,-3.8679541E+000,-4.1720858E-002, 1.4456516E+002, 0.0000000E+000, 5.2988999E+002, 5.2594552E+002, 0.0000000E+000, 1.7631602E-002, 0.0000000E+000, 1.0254306E+003
 1.0843182E+000, 6.0492346E+002,-1.5397283E+002,-9.1421647E-002,-3.8665360E+000,-4.5323025E-002, 1.5587783E+002, 0.0000000E+000, 5.2452988E+002, 6.0282518E+002, 0.0000000E+000, 1.7871400E-002, 0.0000000E+000, 1.0893213E+003
 1.1126304E+000, 6.6437618E+002,-1.8448752E+002,-9.9263959E-002,-3.9982482E+000,-4.5150210E-002, 1.7282981E+002, 0.0000000E+000, 6.1390439E+002, 6.4857580E+002, 0.0000000E+000, 1.8100646E-002, 0.0000000E+000, 1.1641045E+003
 1.1409425E+000, 7.2381289E+002,-2.0457945E+002,-1.0491223E-001,-4.1612304E+000,-4.5709182E-002, 1.8445973E+002, 0.0000000E+000, 6.5111070E+002, 6.9938132E+002, 0.0000000E+000, 1.8319678E-002, 0.0000000E+000, 1.2427466E+003
 1.1692547E+000, 7.5990977E+002,-2.2391701E+002,-1.1143346E-001,-4.3101418E+000,-4.3964048E-002, 1.9562778E+002, 0.0000000E+000, 7.0599796E+002, 7.2715500E+002, 0.0000000E+000, 1.8528836E-002, 0.0000000E+000, 1.3283074E+003
 1.1946312E+000, 8.0695278E+002,-2.3938465E+002,-1.0508974E-001,-4.4287885E+000,-4.5276621E-002, 2.0504392E+002, 0.0000000E+000, 7.2876546E+002, 7.6803289E+002, 0.0000000E+000, 1.8708193E-002, 0.0000000E+000, 1.4074500E+003
 1.2200077E+000, 8.3802188E+002,-2.5633532E+002,-1.0763987E-001,-4.5569736E+000,-4.5480753E-002, 2.1369578E+002, 0.0000000E+000, 7.7199319E+002, 7.9067225E+002, 0.0000000E+000, 1.8880136E-002, 0.0000000E+000, 1.4914664E+003
 1.2424829E+000, 8.7427245E+002,-2.5512643E+002,-9.7756134E-002,-4.6469535E+000,-4.6516292E-002, 2.2409416E+002, 0.0000000E+000, 7.9190457E+002, 8.3844895E+002, 0.0000000E+000, 1.9026422E-002, 0.0000000E+000, 1.5679723E+003
 1.2649583E+000, 8.8975001E+002,-2.6137242E+002,-1.0633572E-001,-4.7305775E+000,-4.7253592E-002, 2.3330208E+002, 0.0000000E+000, 8.4355323E+002, 8.5679552E+002, 0.0000000E+000, 1.9167250E-002, 0.0000000E+000, 1.6495897E+003
