s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 3.8751419E+000, 4.9721850E+002,-1.2238128E+002,-5.8815012E-002,-2.1313039E+001,-3.0221394E-002, 1.4214617E+002, 0.0000000E+000, 4.9292261E+002, 4.9558131E+002, 0.0000000E+000, 1.1232686E-002, 0.0000000E+000, 6.7493073E+003
 3.9077024E+000, 5.1110007E+002,-1.2502949E+002,-5.9510616E-002,-2.1556923E+001,-3.0145736E-002, 1.4677295E+002, 0.0000000E+000, 5.0839582E+002, 5.1119695E+002, 0.0000000E+000, 1.1233311E-002, 0.0000000E+000, 6.8240627E+003
 3.9321229E+000, 5.1475435E+002,-1.2710776E+002,-6.0055411E-002,-2.1800440E+001,-3.0197231E-002, 1.4797070E+002, 0.0000000E+000, 5.1476210E+002, 5.1372659E+002, 0.0000000E+000, 1.1233827E-002, 0.0000000E+000, 6.8808538E+003
 3.9646835E+000, 5.0853146E+002,-1.2718892E+002,-5.9409829E-002,-2.2031783E+001,-3.0439701E-002, 1.4602097E+002, 0.0000000E+000, 5.0887690E+002, 5.0524188E+002, 0.0000000E+000, 1.1234312E-002, 0.0000000E+000, 6.9557472E+003
 3.9972441E+000, 5.0020733E+002,-1.2526179E+002,-5.8465693E-002,-2.2250400E+001,-3.0644565E-002, 1.4299482E+002, 0.0000000E+000, 4.9642724E+002, 4.9560086E+002, 0.0000000E+000, 1.1234835E-002, 0.0000000E+000, 7.0289239E+003
 4.0216646E+000, 4.9656477E+002,-1.2368861E+002,-5.8735250E-002,-2.2409452E+001,-3.0758424E-002, 1.4160131E+002, 0.0000000E+000, 4.9189705E+002, 4.9197852E+002, 0.0000000E+000, 1.1235266E-002, 0.0000000E+000, 7.0832110E+003
 4.0574813E+000, 4.9504109E+002,-1.2269867E+002,-5.8648672E-002,-2.2559499E+001,-3.0782420E-002, 1.4151138E+002, 0.0000000E+000, 4.9166224E+002, 4.9120487E+002, 0.0000000E+000, 1.1235699E-002, 0.0000000E+000, 7.1627907E+003
 4.0843439E+000, 5.0006721E+002,-1.2554792E+002,-5.8548726E-002,-2.2690363E+001,-3.0868320E-002, 1.4182221E+002, 0.0000000E+000, 4.9111070E+002, 4.9356173E+002, 0.0000000E+000, 1.1236119E-002, 0.0000000E+000, 7.2224481E+003
 4.1112065E+000, 5.0356138E+002,-1.2658958E+002,-5.8384566E-002,-2.2778230E+001,-3.0907972E-002, 1.4248249E+002, 0.0000000E+000, 4.9645396E+002, 4.9658677E+002, 0.0000000E+000, 1.1236459E-002, 0.0000000E+000, 7.2825452E+003
 4.1470232E+000, 5.0892574E+002,-1.2691789E+002,-5.8433307E-002,-2.2867128E+001,-3.0913406E-002, 1.4362101E+002, 0.0000000E+000, 5.0122947E+002, 5.0267239E+002, 0.0000000E+000, 1.1236831E-002, 0.0000000E+000, 7.3631732E+003
 4.1738858E+000, 5.0915561E+002,-1.2602934E+002,-5.9075099E-002,-2.2981215E+001,-3.0882716E-002, 1.4396937E+002, 0.0000000E+000, 5.0413550E+002, 5.0402447E+002, 0.0000000E+000, 1.1237183E-002, 0.0000000E+000, 7.4239066E+003
 4.2007480E+000, 5.0457444E+002,-1.2542614E+002,-5.8910655E-002,-2.3104183E+001,-3.0910856E-002, 1.4278617E+002, 0.0000000E+000, 5.0058004E+002, 4.9874047E+002, 0.0000000E+000, 1.1237466E-002, 0.0000000E+000, 7.4842233E+003
 4.2336950E+000, 5.0116539E+002,-1.2510658E+002,-5.7934901E-002,-2.3234708E+001,-3.0947267E-002, 1.4173864E+002, 0.0000000E+000, 4.9505461E+002, 4.9447386E+002, 0.0000000E+000, 1.1237761E-002, 0.0000000E+000, 7.5575462E+003
 4.2656856E+000, 4.9680967E+002,-1.2318738E+002,-5.8582366E-002,-2.3381348E+001,-3.0928000E-002, 1.4102694E+002, 0.0000000E+000, 4.9197562E+002, 4.9117838E+002, 0.0000000E+000, 1.1238064E-002, 0.0000000E+000, 7.6284220E+003
 4.2984757E+000, 4.9155823E+002,-1.2099770E+002,-5.8314942E-002,-2.3542893E+001,-3.0935230E-002, 1.3989408E+002, 0.0000000E+000, 4.8757628E+002, 4.8682246E+002, 0.0000000E+000, 1.1238350E-002, 0.0000000E+000, 7.7004994E+003
 4.3248677E+000, 4.9182174E+002,-1.2127000E+002,-5.8172741E-002,-2.3705284E+001,-3.0904163E-002, 1.3945998E+002, 0.0000000E+000, 4.8515637E+002, 4.8621736E+002, 0.0000000E+000, 1.1238597E-002, 0.0000000E+000, 7.7582301E+003
 4.3512597E+000, 4.9668912E+002,-1.2362812E+002,-5.8282849E-002,-2.3859286E+001,-3.0882992E-002, 1.3999205E+002, 0.0000000E+000, 4.8801885E+002, 4.8910459E+002, 0.0000000E+000, 1.1238803E-002, 0.0000000E+000, 7.8161756E+003
 4.3864489E+000, 5.0310515E+002,-1.2622226E+002,-5.8581126E-002,-2.4057362E+001,-3.0941960E-002, 1.4098947E+002, 0.0000000E+000, 4.9330035E+002, 4.9372547E+002, 0.0000000E+000, 1.1239030E-002, 0.0000000E+000, 7.8940201E+003
 4.4128408E+000, 5.0196664E+002,-1.2604559E+002,-5.8714522E-002,-2.4287831E+001,-3.0902483E-002, 1.4046829E+002, 0.0000000E+000, 4.9345236E+002, 4.9201190E+002, 0.0000000E+000, 1.1239244E-002, 0.0000000E+000, 7.9523047E+003
 4.4480305E+000, 4.9602062E+002,-1.2582834E+002,-5.8287502E-002,-2.4526588E+001,-3.0900237E-002, 1.3841214E+002, 0.0000000E+000, 4.8529240E+002, 4.8398864E+002, 0.0000000E+000, 1.1239444E-002, 0.0000000E+000, 8.0288554E+003
 4.4744225E+000, 4.9360102E+002,-1.2390584E+002,-5.8492524E-002,-2.4757428E+001,-3.0899030E-002, 1.3818815E+002, 0.0000000E+000, 4.8312444E+002, 4.8303651E+002, 0.0000000E+000, 1.1239633E-002, 0.0000000E+000, 8.0860688E+003
 4.5008144E+000, 4.8985582E+002,-1.2303665E+002,-5.8667189E-002,-2.4936094E+001,-3.0910192E-002, 1.3756570E+002, 0.0000000E+000, 4.8131655E+002, 4.7935920E+002, 0.0000000E+000, 1.1239786E-002, 0.0000000E+000, 8.1431568E+003
 4.5360041E+000, 4.8979108E+002,-1.2350385E+002,-5.8444065E-002,-2.5093885E+001,-3.1013488E-002, 1.3729640E+002, 0.0000000E+000, 4.7911483E+002, 4.7840028E+002, 0.0000000E+000, 1.1239954E-002, 0.0000000E+000, 8.2190174E+003
