,,s,s,s
Time Step,Wall Time,Step Size,Simulation Time,CPU Time
      1,2022-07-08T14:06:31.153+00:00,   0.791E-01,   0.07906,   0.223E+01
      2,2022-07-08T14:06:31.248+00:00,   0.791E-01,   0.15811,   0.233E+01
      3,2022-07-08T14:06:31.396+00:00,   0.791E-01,   0.23717,   0.248E+01
      4,2022-07-08T14:06:31.496+00:00,   0.791E-01,   0.31623,   0.258E+01
      5,2022-07-08T14:06:31.626+00:00,   0.677E-01,   0.38389,   0.271E+01
      6,2022-07-08T14:06:31.787+00:00,   0.677E-01,   0.45154,   0.287E+01
      7,2022-07-08T14:06:31.891+00:00,   0.744E-01,   0.52597,   0.297E+01
      8,2022-07-08T14:06:32.023+00:00,   0.370E-01,   0.56300,   0.310E+01
      9,2022-07-08T14:06:32.173+00:00,   0.370E-01,   0.60004,   0.325E+01
     10,2022-07-08T14:06:32.271+00:00,   0.407E-01,   0.64077,   0.335E+01
     20,2022-07-08T14:06:33.497+00:00,   0.328E-01,   1.05601,   0.458E+01
     30,2022-07-08T14:06:34.744+00:00,   0.201E-01,   1.30753,   0.582E+01
     40,2022-07-08T14:06:35.930+00:00,   0.157E-01,   1.47768,   0.701E+01
     50,2022-07-08T14:06:37.157+00:00,   0.123E-01,   1.60740,   0.824E+01
     60,2022-07-08T14:06:38.567+00:00,   0.106E-01,   1.71361,   0.965E+01
     70,2022-07-08T14:06:39.975+00:00,   0.845E-02,   1.80666,   0.111E+02
     80,2022-07-08T14:06:41.519+00:00,   0.821E-02,   1.88980,   0.126E+02
     90,2022-07-08T14:06:43.069+00:00,   0.767E-02,   1.96374,   0.141E+02
    100,2022-07-08T14:06:44.759+00:00,   0.767E-02,   2.04047,   0.158E+02
    200,2022-07-08T14:06:58.274+00:00,   0.541E-02,   2.68112,   0.293E+02
    300,2022-07-08T14:07:11.812+00:00,   0.547E-02,   3.27026,   0.429E+02
    400,2022-07-08T14:07:24.927+00:00,   0.716E-02,   3.88706,   0.560E+02
    500,2022-07-08T14:07:37.765+00:00,   0.759E-02,   4.59521,   0.688E+02
    600,2022-07-08T14:07:52.750+00:00,   0.733E-02,   5.30867,   0.838E+02
    700,2022-07-08T14:08:07.559+00:00,   0.821E-02,   5.99354,   0.986E+02
    800,2022-07-08T14:08:20.865+00:00,   0.775E-02,   6.70936,   0.112E+03
    900,2022-07-08T14:08:33.687+00:00,   0.811E-02,   7.48246,   0.125E+03
   1000,2022-07-08T14:08:48.030+00:00,   0.831E-02,   8.27366,   0.139E+03
   1100,2022-07-08T14:09:01.576+00:00,   0.802E-02,   9.02334,   0.153E+03
   1200,2022-07-08T14:09:17.442+00:00,   0.802E-02,   9.82547,   0.169E+03
   1300,2022-07-08T14:09:30.916+00:00,   0.920E-02,  10.66528,   0.182E+03
   1400,2022-07-08T14:09:43.948+00:00,   0.863E-02,  11.50185,   0.195E+03
   1500,2022-07-08T14:09:58.066+00:00,   0.887E-02,  12.33942,   0.209E+03
   1600,2022-07-08T14:10:12.608+00:00,   0.956E-02,  13.24576,   0.224E+03
   1700,2022-07-08T14:10:28.376+00:00,   0.988E-02,  14.18751,   0.239E+03
   1800,2022-07-08T14:10:42.616+00:00,   0.935E-02,  15.13779,   0.254E+03
   1900,2022-07-08T14:10:56.615+00:00,   0.935E-02,  16.07328,   0.268E+03
   2000,2022-07-08T14:11:10.477+00:00,   0.834E-02,  16.99052,   0.282E+03
   2100,2022-07-08T14:11:27.454+00:00,   0.985E-02,  17.93157,   0.299E+03
   2200,2022-07-08T14:11:42.729+00:00,   0.999E-02,  18.85095,   0.314E+03
   2300,2022-07-08T14:11:58.365+00:00,   0.102E-01,  19.85452,   0.329E+03
   2400,2022-07-08T14:12:12.161+00:00,   0.903E-02,  20.84590,   0.343E+03
   2500,2022-07-08T14:12:26.595+00:00,   0.940E-02,  21.73708,   0.358E+03
   2600,2022-07-08T14:12:40.672+00:00,   0.990E-02,  22.70616,   0.372E+03
   2700,2022-07-08T14:12:55.908+00:00,   0.992E-02,  23.64692,   0.387E+03
   2800,2022-07-08T14:13:09.485+00:00,   0.997E-02,  24.64185,   0.401E+03
   2900,2022-07-08T14:13:23.227+00:00,   0.854E-02,  25.63122,   0.414E+03
   3000,2022-07-08T14:13:35.503+00:00,   0.996E-02,  26.57223,   0.427E+03
   3100,2022-07-08T14:13:47.900+00:00,   0.984E-02,  27.51376,   0.439E+03
   3200,2022-07-08T14:14:00.102+00:00,   0.100E-01,  28.51667,   0.451E+03
   3300,2022-07-08T14:14:12.260+00:00,   0.950E-02,  29.50043,   0.463E+03
   3349,2022-07-08T14:14:18.135+00:00,   0.180E-02,  30.00000,   0.469E+03
