s,kW,kW,kW,kW,kW,kW,kW,kW,kW,kg/s,kg/s,kg/s,Pa
Time,HRR,Q_RADI,Q_CONV,Q_COND,Q_DIFF,Q_PRES,Q_PART,Q_ENTH,Q_TOTAL,MLR_AIR,MLR_PROPANE,MLR_PRODUCTS,ZONE_1
 4.4743853E+000, 1.8217617E+003,-4.6697433E+002,-1.8684168E-001,-7.4085128E+001,-8.2383819E-002, 4.9645642E+002, 0.0000000E+000, 1.7701511E+003, 1.7768894E+003, 0.0000000E+000, 3.3719150E-002, 0.0000000E+000, 2.3725755E+004
 4.5015326E+000, 1.8027595E+003,-4.5660904E+002,-1.8614697E-001,-7.3835305E+001,-8.2362556E-002, 4.9675285E+002, 0.0000000E+000, 1.7729945E+003, 1.7687995E+003, 0.0000000E+000, 3.3719684E-002, 0.0000000E+000, 2.3937652E+004
 4.5354662E+000, 1.7385258E+003,-4.3351394E+002,-1.8625249E-001,-7.3744580E+001,-8.2459576E-002, 4.8720355E+002, 0.0000000E+000, 1.7302734E+003, 1.7182022E+003, 0.0000000E+000, 3.3720185E-002, 0.0000000E+000, 2.4197972E+004
 4.5626135E+000, 1.6521344E+003,-4.0873005E+002,-1.8468831E-001,-7.3778000E+001,-8.2980144E-002, 4.6853495E+002, 0.0000000E+000, 1.6557963E+003, 1.6378936E+003, 0.0000000E+000, 3.3720658E-002, 0.0000000E+000, 2.4398752E+004
 4.5965476E+000, 1.5412236E+003,-3.7605739E+002,-1.8542887E-001,-7.3931563E+001,-8.3252898E-002, 4.4196511E+002, 0.0000000E+000, 1.5536907E+003, 1.5329310E+003, 0.0000000E+000, 3.3721101E-002, 0.0000000E+000, 2.4635806E+004
 4.6236949E+000, 1.4523150E+003,-3.5250646E+002,-1.8071162E-001,-7.4143487E+001,-8.3212866E-002, 4.1751862E+002, 0.0000000E+000, 1.4569333E+003, 1.4429197E+003, 0.0000000E+000, 3.3721520E-002, 0.0000000E+000, 2.4814672E+004
 4.6558881E+000, 1.4109631E+003,-3.4008177E+002,-1.8538567E-001,-7.4348801E+001,-8.2863328E-002, 4.0377470E+002, 0.0000000E+000, 1.4045604E+003, 1.4000390E+003, 0.0000000E+000, 3.3721900E-002, 0.0000000E+000, 2.5019148E+004
 4.6854711E+000, 1.4116558E+003,-3.4663969E+002,-1.8570114E-001,-7.4457310E+001,-8.2615716E-002, 3.9811171E+002, 0.0000000E+000, 1.3844241E+003, 1.3884022E+003, 0.0000000E+000, 3.3722271E-002, 0.0000000E+000, 2.5203944E+004
 4.7150540E+000, 1.4535303E+003,-3.5741129E+002,-1.8338329E-001,-7.4507380E+001,-8.2141845E-002, 4.0777020E+002, 0.0000000E+000, 1.4163510E+003, 1.4291163E+003, 0.0000000E+000, 3.3722609E-002, 0.0000000E+000, 2.5392438E+004
 4.7446370E+000, 1.5051518E+003,-3.7417571E+002,-1.8974540E-001,-7.4685691E+001,-8.1813193E-002, 4.2221650E+002, 0.0000000E+000, 1.4747382E+003, 1.4782354E+003, 0.0000000E+000, 3.3722928E-002, 0.0000000E+000, 2.5588234E+004
 4.7759953E+000, 1.4988844E+003,-3.7749516E+002,-1.8764442E-001,-7.5140190E+001,-8.1926926E-002, 4.2076028E+002, 0.0000000E+000, 1.4701063E+003, 1.4667397E+003, 0.0000000E+000, 3.3723238E-002, 0.0000000E+000, 2.5795618E+004
 4.8020282E+000, 1.4857317E+003,-3.7780273E+002,-1.8512247E-001,-7.5851297E+001,-8.2235969E-002, 4.1482581E+002, 0.0000000E+000, 1.4502239E+003, 1.4466362E+003, 0.0000000E+000, 3.3723514E-002, 0.0000000E+000, 2.5965464E+004
 4.8345695E+000, 1.4731436E+003,-3.7631094E+002,-1.8686346E-001,-7.6723824E+001,-8.2078831E-002, 4.0958942E+002, 0.0000000E+000, 1.4333485E+003, 1.4294294E+003, 0.0000000E+000, 3.3723777E-002, 0.0000000E+000, 2.6175034E+004
 4.8606024E+000, 1.4394932E+003,-3.6632146E+002,-1.8635679E-001,-7.7547033E+001,-8.1972702E-002, 4.0092717E+002, 0.0000000E+000, 1.4015554E+003, 1.3962835E+003, 0.0000000E+000, 3.3724027E-002, 0.0000000E+000, 2.6339201E+004
 4.8931437E+000, 1.4096912E+003,-3.5648588E+002,-1.8466826E-001,-7.8255857E+001,-8.2300939E-002, 3.9361369E+002, 0.0000000E+000, 1.3715100E+003, 1.3682962E+003, 0.0000000E+000, 3.3724261E-002, 0.0000000E+000, 2.6540512E+004
 4.9256849E+000, 1.4080810E+003,-3.5640070E+002,-1.8542283E-001,-7.8839953E+001,-8.2488056E-002, 3.9249180E+002, 0.0000000E+000, 1.3651914E+003, 1.3650643E+003, 0.0000000E+000, 3.3724506E-002, 0.0000000E+000, 2.6740997E+004
 4.9517179E+000, 1.4119734E+003,-3.5599133E+002,-1.8613544E-001,-7.9025557E+001,-8.2326791E-002, 3.9279978E+002, 0.0000000E+000, 1.3665479E+003, 1.3694878E+003, 0.0000000E+000, 3.3724714E-002, 0.0000000E+000, 2.6901417E+004
 4.9842591E+000, 1.4115778E+003,-3.5915888E+002,-1.8683085E-001,-7.8942601E+001,-8.2025146E-002, 3.9078589E+002, 0.0000000E+000, 1.3658076E+003, 1.3639933E+003, 0.0000000E+000, 3.3724910E-002, 0.0000000E+000, 2.7101207E+004
 5.0102921E+000, 1.4276304E+003,-3.6341385E+002,-1.8523616E-001,-7.8756345E+001,-8.2066658E-002, 3.9264819E+002, 0.0000000E+000, 1.3709208E+003, 1.3778411E+003, 0.0000000E+000, 3.3725094E-002, 0.0000000E+000, 2.7261263E+004
 5.0428333E+000, 1.4493534E+003,-3.6916913E+002,-1.8663457E-001,-7.8625990E+001,-8.2280548E-002, 3.9691749E+002, 0.0000000E+000, 1.3943605E+003, 1.3982069E+003, 0.0000000E+000, 3.3725268E-002, 0.0000000E+000, 2.7463850E+004
 5.0753746E+000, 1.4548726E+003,-3.7737723E+002,-1.8749933E-001,-7.8711440E+001,-8.2197039E-002, 3.9368997E+002, 0.0000000E+000, 1.3975524E+003, 1.3922042E+003, 0.0000000E+000, 3.3725450E-002, 0.0000000E+000, 2.7665455E+004
 5.1014075E+000, 1.4412844E+003,-3.7862338E+002,-1.8447511E-001,-7.9036834E+001,-8.2307994E-002, 3.8648726E+002, 0.0000000E+000, 1.3718543E+003, 1.3698446E+003, 0.0000000E+000, 3.3725604E-002, 0.0000000E+000, 2.7823607E+004
 5.1339488E+000, 1.4199813E+003,-3.7585093E+002,-1.8513269E-001,-7.9683390E+001,-8.2414426E-002, 3.7755647E+002, 0.0000000E+000, 1.3472510E+003, 1.3417359E+003, 0.0000000E+000, 3.3725749E-002, 0.0000000E+000, 2.8017016E+004
 5.1612835E+000, 1.4005817E+003,-3.7013733E+002,-1.8513367E-001,-8.0593767E+001,-8.3237902E-002, 3.7058901E+002, 0.0000000E+000, 1.3214867E+003, 1.3201713E+003, 0.0000000E+000, 3.3725890E-002, 0.0000000E+000, 2.8176270E+004
 5.1920676E+000, 1.4244683E+003,-3.7633063E+002,-1.8108084E-001,-8.1502882E+001,-8.3554526E-002, 3.7230563E+002, 0.0000000E+000, 1.3266274E+003, 1.3386758E+003, 0.0000000E+000, 3.3726019E-002, 0.0000000E+000, 2.8355538E+004
 5.2235675E+000, 1.4894699E+003,-3.9032005E+002,-1.8474642E-001,-8.2303789E+001,-8.3588786E-002, 3.8819693E+002, 0.0000000E+000, 1.3893395E+003, 1.4047747E+003, 0.0000000E+000, 3.3726148E-002, 0.0000000E+000, 2.8546380E+004
 5.2550673E+000, 1.5449502E+003,-4.0435240E+002,-1.8486918E-001,-8.2842159E+001,-8.3583395E-002, 4.0449348E+002, 0.0000000E+000, 1.4499322E+003, 1.4619807E+003, 0.0000000E+000, 3.3726271E-002, 0.0000000E+000, 2.8745425E+004
 5.2847862E+000, 1.5921710E+003,-4.1649389E+002,-1.8500470E-001,-8.3158151E+001,-8.3506740E-002, 4.1883083E+002, 0.0000000E+000, 1.5024758E+003, 1.5110813E+003, 0.0000000E+000, 3.3726382E-002, 0.0000000E+000, 2.8940121E+004
 5.3127241E+000, 1.6010325E+003,-4.1570550E+002,-1.8614164E-001,-8.3419778E+001,-8.3527846E-002, 4.2491411E+002, 0.0000000E+000, 1.5253716E+003, 1.5265517E+003, 0.0000000E+000, 3.3726480E-002, 0.0000000E+000, 2.9126269E+004
 5.3406620E+000, 1.5931217E+003,-4.0611130E+002,-1.8461698E-001,-8.3706936E+001,-8.3602267E-002, 4.2770812E+002, 0.0000000E+000, 1.5304540E+003, 1.5307434E+003, 0.0000000E+000, 3.3726571E-002, 0.0000000E+000, 2.9313726E+004
 5.3755841E+000, 1.5632770E+003,-3.9196304E+002,-1.8615302E-001,-8.4092448E+001,-8.3241141E-002, 4.2543842E+002, 0.0000000E+000, 1.5193196E+003, 1.5123905E+003, 0.0000000E+000, 3.3726668E-002, 0.0000000E+000, 2.9547359E+004
 5.4035220E+000, 1.5563329E+003,-3.8789124E+002,-1.8290817E-001,-8.4478989E+001,-8.3111533E-002, 4.2466319E+002, 0.0000000E+000, 1.5037621E+003, 1.5083598E+003, 0.0000000E+000, 3.3726758E-002, 0.0000000E+000, 2.9733178E+004
 5.4314599E+000, 1.5753988E+003,-3.9065457E+002,-1.8652458E-001,-8.4759716E+001,-8.3057686E-002, 4.3243432E+002, 0.0000000E+000, 1.5268008E+003, 1.5321492E+003, 0.0000000E+000, 3.3726834E-002, 0.0000000E+000, 2.9922269E+004
 5.4649310E+000, 1.5918439E+003,-3.9610423E+002,-1.8299560E-001,-8.4976257E+001,-8.3158288E-002, 4.3879042E+002, 0.0000000E+000, 1.5483684E+003, 1.5492877E+003, 0.0000000E+000, 3.3726912E-002, 0.0000000E+000, 3.0152613E+004
 5.4962258E+000, 1.5843148E+003,-3.9270225E+002,-1.8657607E-001,-8.5222510E+001,-8.3003585E-002, 4.3940210E+002, 0.0000000E+000, 1.5465019E+003, 1.5455225E+003, 0.0000000E+000, 3.3726990E-002, 0.0000000E+000, 3.0368497E+004
 5.5212612E+000, 1.5586755E+003,-3.8728466E+002,-1.8636137E-001,-8.5517155E+001,-8.2911493E-002, 4.3436333E+002, 0.0000000E+000, 1.5243878E+003, 1.5199677E+003, 0.0000000E+000, 3.3727054E-002, 0.0000000E+000, 3.0539481E+004
 5.5551090E+000, 1.5493032E+003,-3.8958098E+002,-1.8587962E-001,-8.5769103E+001,-8.2665369E-002, 4.2931207E+002, 0.0000000E+000, 1.5038970E+003, 1.5029966E+003, 0.0000000E+000, 3.3727116E-002, 0.0000000E+000, 3.0767710E+004
 5.5856271E+000, 1.5659770E+003,-3.9701202E+002,-1.8621977E-001,-8.5940898E+001,-8.2021117E-002, 4.3062913E+002, 0.0000000E+000, 1.5049014E+003, 1.5133850E+003, 0.0000000E+000, 3.3727181E-002, 0.0000000E+000, 3.0973544E+004
 5.6112628E+000, 1.6066660E+003,-4.0901773E+002,-1.8709188E-001,-8.6124691E+001,-8.1909295E-002, 4.4089496E+002, 0.0000000E+000, 1.5460775E+003, 1.5521496E+003, 0.0000000E+000, 3.3727234E-002, 0.0000000E+000, 3.1150573E+004
 5.6448326E+000, 1.6275347E+003,-4.2018813E+002,-1.8721627E-001,-8.6473573E+001,-8.2328449E-002, 4.4580444E+002, 0.0000000E+000, 1.5689464E+003, 1.5664079E+003, 0.0000000E+000, 3.3727287E-002, 0.0000000E+000, 3.1385607E+004
 5.6716890E+000, 1.6102008E+003,-4.1179515E+002,-1.8405411E-001,-8.6987900E+001,-8.3050151E-002, 4.4486644E+002, 0.0000000E+000, 1.5584800E+003, 1.5560170E+003, 0.0000000E+000, 3.3727338E-002, 0.0000000E+000, 3.1573068E+004
 5.7029119E+000, 1.5803721E+003,-3.9898437E+002,-1.8457787E-001,-8.7673295E+001,-8.3313377E-002, 4.4141463E+002, 0.0000000E+000, 1.5424433E+003, 1.5348612E+003, 0.0000000E+000, 3.3727384E-002, 0.0000000E+000, 3.1789777E+004
 5.7331629E+000, 1.5146389E+003,-3.7802044E+002,-1.8602754E-001,-8.8580715E+001,-8.3608729E-002, 4.2753085E+002, 0.0000000E+000, 1.4910900E+003, 1.4752989E+003, 0.0000000E+000, 3.3727430E-002, 0.0000000E+000, 3.1993913E+004
 5.7657866E+000, 1.4065254E+003,-3.4677535E+002,-1.8550502E-001,-8.9593629E+001,-8.3758262E-002, 3.9799120E+002, 0.0000000E+000, 1.3865943E+003, 1.3678783E+003, 0.0000000E+000, 3.3727474E-002, 0.0000000E+000, 3.2199346E+004
 5.7918859E+000, 1.3337588E+003,-3.3278093E+002,-1.8561428E-001,-9.0430426E+001,-8.3715167E-002, 3.7105540E+002, 0.0000000E+000, 1.2939657E+003, 1.2813335E+003, 0.0000000E+000, 3.3727513E-002, 0.0000000E+000, 3.2352285E+004
 5.8251619E+000, 1.3059927E+003,-3.3176222E+002,-1.8438709E-001,-9.1179613E+001,-8.3404617E-002, 3.5504884E+002, 0.0000000E+000, 1.2426917E+003, 1.2378319E+003, 0.0000000E+000, 3.3727550E-002, 0.0000000E+000, 3.2538412E+004
 5.8538709E+000, 1.2883829E+003,-3.2794338E+002,-1.8690005E-001,-9.1968383E+001,-8.2993232E-002, 3.4658094E+002, 0.0000000E+000, 1.2160637E+003, 1.2147822E+003, 0.0000000E+000, 3.3727587E-002, 0.0000000E+000, 3.2694781E+004
 5.8825798E+000, 1.2963078E+003,-3.3311845E+002,-1.8471473E-001,-9.2667362E+001,-8.3137874E-002, 3.4583417E+002, 0.0000000E+000, 1.2140825E+003, 1.2160883E+003, 0.0000000E+000, 3.3727618E-002, 0.0000000E+000, 3.2850580E+004
 5.9112887E+000, 1.3237623E+003,-3.5059324E+002,-1.8430143E-001,-9.3350809E+001,-8.3157526E-002, 3.4895305E+002, 0.0000000E+000, 1.2255783E+003, 1.2285038E+003, 0.0000000E+000, 3.3727648E-002, 0.0000000E+000, 3.3007683E+004
 5.9471750E+000, 1.3438051E+003,-3.6613098E+002,-1.8430753E-001,-9.4084446E+001,-8.3090511E-002, 3.5014441E+002, 0.0000000E+000, 1.2300478E+003, 1.2334667E+003, 0.0000000E+000, 3.3727680E-002, 0.0000000E+000, 3.3204708E+004
 5.9758840E+000, 1.3558664E+003,-3.6746947E+002,-1.8451447E-001,-9.4676208E+001,-8.3596937E-002, 3.5466019E+002, 0.0000000E+000, 1.2446862E+003, 1.2481128E+003, 0.0000000E+000, 3.3727709E-002, 0.0000000E+000, 3.3364279E+004
 6.0045929E+000, 1.3724735E+003,-3.7023366E+002,-1.8369375E-001,-9.5082764E+001,-8.4151026E-002, 3.5887728E+002, 0.0000000E+000, 1.2615417E+003, 1.2657665E+003, 0.0000000E+000, 3.3727734E-002, 0.0000000E+000, 3.3525787E+004
